TimeFrame,Symbol,Candle,DateTime,Open,High,Low,Close,Volume,HL,Body
PERIOD_D1,XAUUSD,1157,2021.05.11 00:00,1835.42,1841.76,1817.99,1837.06,179936.0,2376.999999999998,163.99999999998727
PERIOD_D1,XAUUSD,1156,2021.05.12 00:00,1837.02,1843.58,1813.12,1814.52,186276.0,3046.0000000000036,2250.0
PERIOD_D1,XAUUSD,1155,2021.05.13 00:00,1815.43,1828.69,1808.67,1826.46,171786.0,2001.9999999999982,1102.9999999999973
PERIOD_D1,XAUUSD,1154,2021.05.14 00:00,1826.18,1846.05,1819.67,1843.26,136181.0,2637.999999999988,1707.9999999999927
PERIOD_D1,XAUUSD,1153,2021.05.17 00:00,1842.45,1868.42,1842.34,1866.72,140038.0,2608.0000000000155,2426.999999999998
PERIOD_D1,XAUUSD,1152,2021.05.18 00:00,1866.22,1874.97,1863.18,1869.53,130267.0,1178.9999999999964,330.99999999999454
PERIOD_D1,XAUUSD,1151,2021.05.19 00:00,1869.4,1890.0,1852.12,1869.65,181561.0,3788.000000000011,25.0
PERIOD_D1,XAUUSD,1150,2021.05.20 00:00,1869.42,1883.8,1863.77,1877.18,155166.0,2002.9999999999973,775.9999999999991
PERIOD_D1,XAUUSD,1149,2021.05.21 00:00,1877.29,1889.38,1870.02,1881.28,145822.0,1936.0000000000127,399.0000000000009
PERIOD_D1,XAUUSD,1148,2021.05.24 00:00,1880.93,1886.96,1875.11,1881.12,126931.0,1185.0000000000136,18.99999999998272
PERIOD_D1,XAUUSD,1147,2021.05.25 00:00,1880.53,1900.21,1872.67,1899.09,130432.0,2753.9999999999964,1855.9999999999945
PERIOD_D1,XAUUSD,1146,2021.05.26 00:00,1898.68,1912.68,1890.62,1896.7,144869.0,2206.0000000000173,198.00000000000182
PERIOD_D1,XAUUSD,1145,2021.05.27 00:00,1896.03,1903.59,1888.18,1896.44,139386.0,1540.9999999999854,41.000000000008185
PERIOD_D1,XAUUSD,1144,2021.05.28 00:00,1896.62,1905.84,1882.23,1903.76,140801.0,2360.99999999999,714.00000000001
PERIOD_D1,XAUUSD,1143,2021.05.31 00:00,1902.73,1910.58,1901.98,1906.57,77803.0,859.9999999999909,383.9999999999918
PERIOD_D1,XAUUSD,1142,2021.06.01 00:00,1907.2,1916.54,1892.31,1900.25,138412.0,2423.000000000002,695.0000000000045
PERIOD_D1,XAUUSD,1141,2021.06.02 00:00,1899.77,1909.01,1894.3,1908.23,116210.0,1471.0000000000036,846.0000000000036
PERIOD_D1,XAUUSD,1140,2021.06.03 00:00,1907.73,1909.57,1865.25,1870.44,145817.0,4431.999999999994,3728.9999999999964
PERIOD_D1,XAUUSD,1139,2021.06.04 00:00,1870.92,1896.13,1855.3,1891.44,132388.0,4083.0000000000155,2051.999999999998
PERIOD_D1,XAUUSD,1138,2021.06.07 00:00,1890.32,1900.07,1881.49,1899.05,116088.0,1857.9999999999927,873.0000000000018
PERIOD_D1,XAUUSD,1137,2021.06.08 00:00,1899.31,1903.7,1883.7,1892.83,111226.0,2000.0,648.0000000000018
PERIOD_D1,XAUUSD,1136,2021.06.09 00:00,1891.84,1898.91,1887.28,1888.83,107320.0,1163.000000000011,300.9999999999991
PERIOD_D1,XAUUSD,1135,2021.06.10 00:00,1888.73,1899.82,1869.88,1898.53,136112.0,2993.9999999999827,979.9999999999955
PERIOD_D1,XAUUSD,1134,2021.06.11 00:00,1898.11,1902.98,1874.42,1876.13,126586.0,2855.9999999999945,2197.999999999979
PERIOD_D1,XAUUSD,1133,2021.06.14 00:00,1876.41,1877.63,1844.59,1866.08,136267.0,3304.000000000019,1033.0000000000155
